zip_code,median_household_income,income_quartile
10001,106509,2
10002,43362,1
10003,152863,4
10004,232543,4
10005,189886,4
10006,204574,4
10007,250001,4
10009,83344,2
10010,150288,4
10011,145934,4
10012,126890,3
10013,150675,4
10014,147267,4
10016,145864,4
10017,139964,3
10018,149118,4
10019,113335,3
10021,149432,4
10022,161236,4
10023,151468,4
10024,166994,4
10025,106916,2
10026,68831,1
10027,63125,1
10028,160244,4
10029,35640,1
10030,47765,1
10031,64807,1
10032,56752,1
10033,77209,1
10034,65109,1
10035,36989,1
10036,102287,2
10037,50177,1
10038,99641,2
10039,51904,1
10040,59115,1
10044,120759,3
10065,158276,4
10069,197680,4
10075,140736,3
10128,137253,3
10162,105391,2
10279,250001,4
10280,206150,4
10282,250001,4
10301,84855,2
10302,75588,1
10303,78578,1
10304,69479,1
10305,84764,2
10306,94758,2
10307,124738,3
10308,122647,3
10309,110123,3
10310,105523,2
10312,107414,2
10314,103436,2
10451,34316,1
10452,36536,1
10453,34800,1
10454,26400,1
10455,35813,1
10456,33317,1
10457,41145,1
10458,41550,1
10459,41270,1
10460,33080,1
10461,64444,1
10462,63431,1
10463,66780,1
10464,129109,3
10465,85946,2
10466,60892,1
10467,46228,1
10468,43985,1
10469,76731,1
10470,75750,1
10471,111418,3
10472,40025,1
10473,51379,1
10474,40795,1
10475,57003,1
10501,250001,4
10502,244792,4
10504,243523,4
10505,126548,3
10506,236071,4
10507,92297,2
10509,117586,3
10510,198713,4
10511,132708,3
10512,115656,3
10514,250001,4
10516,130893,3
10517,64000,1
10518,155464,4
10520,135990,3
10522,144000,4
10523,117066,3
10524,122841,3
10526,219167,4
10527,208462,4
10528,143559,4
10530,112727,3
10532,131531,3
10533,196111,4
10536,228185,4
10537,120605,3
10538,222589,4
10541,130517,3
10543,128047,3
10546,199464,4
10547,132330,3
10548,119803,3
10549,119333,3
10550,54138,1
10552,93288,2
10553,88962,2
10560,171111,4
10562,111510,3
10566,86695,2
10567,152278,4
10570,179056,4
10573,105601,2
10576,218348,4
10577,250001,4
10578,250001,4
10579,122633,3
10580,230434,4
10583,243514,4
10588,129823,3
10589,111250,3
10590,188732,4
10591,107574,2
10594,161154,4
10595,87272,2
10596,70833,1
10597,250001,4
10598,153164,4
10601,84695,2
10603,125385,3
10604,111583,3
10605,140262,3
10606,106984,2
10607,142685,3
10701,60022,1
10703,84689,2
10704,98936,2
10705,64387,1
10706,161908,4
10707,128197,3
10708,121556,3
10709,154935,4
10710,97941,2
10801,80945,2
10803,213674,4
10804,225517,4
10805,82601,2
10901,110758,3
10913,172750,4
10914,87682,2
10916,109156,3
10917,129276,3
10918,130148,3
10919,100571,2
10920,138603,3
10921,108787,3
10922,117610,3
10923,101771,2
10924,112040,3
10925,98902,2
10926,89135,2
10927,77254,1
10928,83884,2
10930,142778,4
10931,79688,2
10933,133065,3
10940,81158,2
10941,94055,2
10950,76375,1
10952,68224,1
10954,115042,3
10956,173900,4
10958,131250,3
10960,114698,3
10962,151635,4
10963,78786,1
10964,180273,4
10965,130610,3
10968,138456,3
10969,153409,4
10970,101974,2
10973,129798,3
10974,107414,2
10975,100425,2
10976,79583,1
10977,67252,1
10980,128839,3
10983,172500,4
10984,119673,3
10986,155417,4
10987,162292,4
10988,83750,2
10989,127825,3
10990,121217,3
10992,113786,3
10993,59288,1
10994,160697,4
10996,133844,3
10998,122833,3
11001,145325,4
11003,119448,3
11004,112311,3
11005,81328,2
11010,136378,3
11020,173345,4
11021,111777,3
11023,146563,4
11024,160273,4
11030,232821,4
11040,144174,4
11050,152020,4
11096,72348,1
11101,109625,3
11102,103409,2
11103,88116,2
11104,83493,2
11105,97233,2
11106,81729,2
11109,173939,4
11201,163310,4
11203,68006,1
11204,64172,1
11205,74839,1
11206,51507,1
11207,52569,1
11208,56298,1
11209,88546,2
11210,82904,2
11211,94824,2
11212,35840,1
11213,54211,1
11214,60152,1
11215,173899,4
11216,92684,2
11217,152735,4
11218,87759,2
11219,51194,1
11220,62804,1
11221,77600,1
11222,126250,3
11223,61356,1
11224,40467,1
11225,82716,2
11226,75947,1
11228,83980,2
11229,72799,1
11230,65051,1
11231,130396,3
11232,79599,2
11233,57812,1
11234,91379,2
11235,61320,1
11236,79885,2
11237,79136,1
11238,125747,3
11239,38670,1
11249,113946,3
11354,56854,1
11355,52658,1
11356,86717,2
11357,95987,2
11358,84020,2
11360,100016,2
11361,102343,2
11362,113688,3
11363,112625,3
11364,100577,2
11365,82655,2
11366,114881,3
11367,76888,1
11368,69391,1
11369,72342,1
11370,71618,1
11372,73089,1
11373,67489,1
11374,86006,2
11375,103995,2
11377,72273,1
11378,90572,2
11379,89500,2
11385,85127,2
11411,117018,3
11412,96094,2
11413,111065,3
11414,95370,2
11415,88306,2
11416,84085,2
11417,84419,2
11418,79101,1
11419,90818,2
11420,97919,2
11421,81324,2
11422,101416,2
11423,79500,1
11426,112325,3
11427,84691,2
11428,89593,2
11429,95721,2
11432,72001,1
11433,73118,1
11434,71728,1
11435,76915,1
11436,87685,2
11501,130208,3
11507,145833,4
11509,155925,4
11510,135693,3
11514,110865,3
11516,98333,2
11518,110280,3
11520,110152,3
11530,186300,4
11542,91774,2
11545,164306,4
11548,102188,2
11550,83333,2
11552,147468,4
11553,102066,2
11554,129268,3
11557,162266,4
11558,104253,2
11559,129732,3
11560,162143,4
11561,130046,3
11563,137828,3
11565,153582,4
11566,172868,4
11568,250001,4
11569,104386,2
11570,149420,4
11572,134615,3
11575,123056,3
